eps1	q	p	epsv
2.335072197	393.7355751	296.8677876	-0.224047986
2.388312351	396.4789573	298.2394787	-0.252571548
2.441453912	398.942279	299.4711395	-0.279254881
2.501299788	401.7354001	300.8677001	-0.308238502
2.550990598	404.1592464	302.0796232	-0.337222122
2.602061708	406.4069601	303.2034801	-0.368045972
2.648400361	408.7780538	304.3890269	-0.398409765
2.70114755	410.7344923	305.3672462	-0.427853443
2.747683388	413.0246586	306.5123293	-0.458677293
2.79914887	415.2302352	307.6151176	-0.489041086
2.856825703	417.1183609	308.5591805	-0.520785051
2.909868671	419.2213792	309.6106896	-0.551148843
2.957587623	421.1936581	310.5968291	-0.583812923
3.004320647	422.8532708	311.4266354	-0.616016946
3.060321401	424.6550452	312.3275226	-0.647760911
3.120068685	426.4658037	313.2329019	-0.680885049
3.167787637	427.7249948	313.8624974	-0.713549129
3.221915127	429.7108136	314.8554068	-0.746673266
3.278606031	430.8072085	315.4036043	-0.780257461
3.324550312	432.5000705	316.2500353	-0.813381599
3.375128458	433.8777983	316.9388992	-0.847425851
3.425410825	435.4059462	317.7029731	-0.880549988
3.483186251	436.6478879	318.323944	-0.915054298
3.52873616	437.8402971	318.9201486	-0.949098551
3.581680535	439.1702925	319.5851463	-0.983142803
3.640639075	440.6133499	320.306675	-1.018107171
3.693780636	441.9112723	320.9556362	-1.053991653
3.742189739	442.9247741	321.4623871	-1.088035905
3.786852312	443.9647205	321.9823603	-1.12346033
3.840486837	444.9717838	322.4858919	-1.158424697
3.893431212	446.0122753	323.0061377	-1.193849122
3.943812172	447.1207054	323.5603527	-1.229733605
3.995080468	447.6946347	323.8473174	-1.264237914
4.047926251	448.7614706	324.3807353	-1.300122397
4.099588918	449.4359177	324.7179589	-1.336006879
4.154012186	450.4586428	325.2293214	-1.371431304
4.210703091	450.8977536	325.4488768	-1.407775844
4.266999623	451.6052569	325.8026285	-1.443660326
4.315507319	452.5941617	326.2970809	-1.480004866
4.372001038	453.0658045	326.5329023	-1.515889348
4.426424306	453.6399461	326.8199731	-1.55177383
4.468819243	453.9152998	326.9576499	-1.588578427
4.538031442	454.7492862	327.3746431	-1.62446291
4.584172909	454.9169199	327.45846	-1.659887335
4.636525727	455.6871469	327.8435735	-1.696691932
4.691146181	456.1531607	328.0765804	-1.733956587
4.742414477	456.4614633	328.2307317	-1.769841069
4.797823674	456.7661483	328.3830742	-1.807565781
4.852148349	457.284891	328.6424455	-1.843910321
4.907163174	457.8731287	328.9365644	-1.880714918
4.960896292	458.5866439	329.293322	-1.917059458
5.018573125	458.6761984	329.3380992	-1.953864055
5.082066938	458.5296528	329.2648264	-1.989748537
5.130377448	458.9991456	329.4995728	-2.027013192
5.177800622	459.3450819	329.672541	-2.064277847
5.227294246	459.7705388	329.8852694	-2.100162329
5.277970985	459.7678799	329.88394	-2.137887041
5.325591344	460.162645	330.0813225	-2.174691638
5.377056826	460.6006454	330.3003227	-2.21057612
5.430494166	460.5866318	330.2933159	-2.247380718
5.489156928	460.4711357	330.2355679	-2.284185315
5.545256275	460.9549609	330.4774805	-2.320989912
5.596031606	460.6650516	330.3325258	-2.356414337
5.648088645	461.2482203	330.6241102	-2.393678992
5.705568293	460.8349678	330.4174839	-2.428643359
5.754371767	461.4778615	330.7389308	-2.466828129
5.808203478	461.6435751	330.8217876	-2.503172668
5.861246446	461.620494	330.810247	-2.539517208
5.908373841	460.9321278	330.4660639	-2.576321805
5.962895702	460.8578154	330.4289077	-2.611286173
6.020276756	460.5861655	330.2930828	-2.64809077
6.075981732	460.0255649	330.0127825	-2.68443531
6.130897964	460.1357155	330.0678578	-2.720319792
6.183053596	460.1591481	330.0795741	-2.756204274
6.231659885	460.0668729	330.0334365	-2.792088757
6.288449382	460.2654207	330.1327104	-2.827973239
6.341393757	459.5677235	329.7838618	-2.862937606
6.392760646	459.65767	329.828835	-2.899282146
6.444226128	459.3789858	329.6894929	-2.934706571
6.503776225	459.3700692	329.6850346	-2.971051111
6.553565628	459.4497585	329.7248793	-3.00555542
6.61084809	459.8296972	329.9148486	-3.04189996
6.662313572	458.7847937	329.3923969	-3.077324385
6.70815926	458.5539813	329.2769907	-3.111828695
6.765441721	458.1232493	329.0616247	-3.14725312
6.819076246	457.8091913	328.9045957	-3.182677545
6.873105143	457.4768922	328.7384461	-3.218101969
6.926049518	456.9350011	328.4675006	-3.252146222
6.975247364	457.0626729	328.5313365	-3.288950819
7.032727011	455.9818265	327.9909133	-3.323455129
7.07896707	455.5130248	327.7565124	-3.357959439
7.127080394	455.3150419	327.657521	-3.393843921
7.173221861	454.6800892	327.3400446	-3.427428116
